model_name,sample_name,outcome_name,spec_name,term,estimate,std_error,t_value,p_value,nobs
bosman_selection,all_comps_full,played_any,player_month,BosmanTRUE,-0.008174966372736108,0.003853292289225592,-2.121553663498249,0.03390515497754308,232055
expiry_selection,all_comps_full,played_any,player_month,expiry_bin_6m::0:6,-0.020331628887462223,0.005196378009194659,-3.9126539392412765,9.202523628429603e-5,232055
expiry_selection,all_comps_full,played_any,player_month,expiry_bin_6m::6:12,0.008444356487722675,0.005174702943994609,1.631853379626862,0.1027487855912722,232055
expiry_selection,all_comps_full,played_any,player_month,expiry_bin_6m::12:18,-0.006841942767596954,0.004312184864610581,-1.5866533978512136,0.1126297334257794,232055
expiry_selection,all_comps_full,played_any,player_month,expiry_bin_6m::18:24,0.02051821342319026,0.004521315157538249,4.53810732237519,5.756996731458955e-6,232055
expiry_selection,all_comps_full,played_any,player_month,expiry_bin_6m::30:36,0.021434079311072465,0.004228239439857298,5.069268099868029,4.080834585672617e-7,232055
expiry_selection,all_comps_full,played_any,player_month,expiry_bin_6m::36:48,0.01648201794025439,0.004542018091810115,3.6287873819731673,2.864882312764567e-4,232055
expiry_selection,all_comps_full,played_any,player_month,expiry_bin_6m::48+,0.0035706057645251395,0.006011811787724815,0.5939317281714909,0.5525741646182373,232055
bosman_selection,all_comps_full,minutes_any,player_month,BosmanTRUE,3.4317512441309153,1.571270711939249,2.184061102937174,0.028985997869718994,232055
expiry_selection,all_comps_full,minutes_any,player_month,expiry_bin_6m::0:6,0.5606066310568868,2.264724045548357,0.2475386050494056,0.8044976175118057,232055
expiry_selection,all_comps_full,minutes_any,player_month,expiry_bin_6m::6:12,6.424039831961947,2.216619883039541,2.8981242481471288,0.0037639683271254686,232055
expiry_selection,all_comps_full,minutes_any,player_month,expiry_bin_6m::12:18,-0.07250728257174473,1.8338555839274893,-0.03953816385936946,0.9684622896992405,232055
expiry_selection,all_comps_full,minutes_any,player_month,expiry_bin_6m::18:24,9.630964578850106,1.873940525311668,5.139418486746432,2.819499772819654e-7,232055
expiry_selection,all_comps_full,minutes_any,player_month,expiry_bin_6m::30:36,7.370605441313743,1.7195506166873418,4.28635561511587,1.837063242704556e-5,232055
expiry_selection,all_comps_full,minutes_any,player_month,expiry_bin_6m::36:48,-0.08841502330549705,2.0297416752368913,-0.04355974180565521,0.9652564034725348,232055
expiry_selection,all_comps_full,minutes_any,player_month,expiry_bin_6m::48+,-9.373913497333094,2.9243743243921214,-3.205442415201622,0.0013537203277659874,232055
bosman_selection,all_comps_full,played_tm,player_month,BosmanTRUE,0.015135389606733187,0.004983708878804136,3.0369730605863547,0.0023971804599326758,232055
expiry_selection,all_comps_full,played_tm,player_month,expiry_bin_6m::0:6,0.06357022516047306,0.006902090158299917,9.210286116594471,4.065376723957485e-20,232055
expiry_selection,all_comps_full,played_tm,player_month,expiry_bin_6m::6:12,0.14481311382324974,0.006764389443969626,21.408157384011787,5.545870996568821e-99,232055
expiry_selection,all_comps_full,played_tm,player_month,expiry_bin_6m::12:18,0.01918732699570134,0.005667193245752811,3.3856842644427165,7.133440000053433e-4,232055
expiry_selection,all_comps_full,played_tm,player_month,expiry_bin_6m::18:24,0.11597306818318515,0.005902705608458314,19.647442355417642,5.099839147923983e-84,232055
expiry_selection,all_comps_full,played_tm,player_month,expiry_bin_6m::30:36,0.09668401827795424,0.005051472965736097,19.13976753587664,6.407384712517232e-80,232055
expiry_selection,all_comps_full,played_tm,player_month,expiry_bin_6m::36:48,0.04561589912222287,0.0059535497719480305,7.661966535856662,2.0401880175834703e-14,232055
expiry_selection,all_comps_full,played_tm,player_month,expiry_bin_6m::48+,0.0394919542886845,0.007587943270099862,5.204566360465787,1.991638459073108e-7,232055
bosman_selection,all_comps_full,Minutes_tm,player_month,BosmanTRUE,6.53711255518522,1.6992515983254526,3.847053939291447,1.204531098903827e-4,232055
expiry_selection,all_comps_full,Minutes_tm,player_month,expiry_bin_6m::0:6,18.182016284204217,2.4429221013616695,7.442732731457001,1.0861462513201699e-13,232055
expiry_selection,all_comps_full,Minutes_tm,player_month,expiry_bin_6m::6:12,36.378073560636906,2.3854088235785684,15.250246918288353,8.394950467884345e-52,232055
expiry_selection,all_comps_full,Minutes_tm,player_month,expiry_bin_6m::12:18,5.555295727731401,1.9867353776288212,2.7961930865506983,0.00518288835729674,232055
expiry_selection,all_comps_full,Minutes_tm,player_month,expiry_bin_6m::18:24,31.50655165617554,2.087372024009655,15.093884220817653,8.520985469438894e-51,232055
expiry_selection,all_comps_full,Minutes_tm,player_month,expiry_bin_6m::30:36,24.87617081238022,1.838809990100284,13.528407473478833,2.9406247545380793e-41,232055
expiry_selection,all_comps_full,Minutes_tm,player_month,expiry_bin_6m::36:48,7.857748393266549,2.1833257365103615,3.5989812522549625,3.2135076668440897e-4,232055
expiry_selection,all_comps_full,Minutes_tm,player_month,expiry_bin_6m::48+,-0.8037451227176186,3.0169729842357373,-0.266407795799744,0.789931861998571,232055
bosman_selection,all_comps_full,Matches_tm,player_month,BosmanTRUE,0.07392305342404487,0.02094156203881379,3.5299684563660256,4.178894031790181e-4,232055
expiry_selection,all_comps_full,Matches_tm,player_month,expiry_bin_6m::0:6,0.235160983416118,0.029773963089133045,7.898209006040834,3.1959962496557405e-15,232055
expiry_selection,all_comps_full,Matches_tm,player_month,expiry_bin_6m::6:12,0.5164345173281214,0.02943103636293438,17.54727597627252,1.0671457426482773e-67,232055
expiry_selection,all_comps_full,Matches_tm,player_month,expiry_bin_6m::12:18,0.06068453701420367,0.02421987702410347,2.505567511916382,0.012244736191054229,232055
expiry_selection,all_comps_full,Matches_tm,player_month,expiry_bin_6m::18:24,0.4522321416202638,0.02632133529096026,17.181200597204406,5.008385031929561e-65,232055
expiry_selection,all_comps_full,Matches_tm,player_month,expiry_bin_6m::30:36,0.39880843366066066,0.023427541360200844,17.02305963433978,6.881062168478053e-64,232055
expiry_selection,all_comps_full,Matches_tm,player_month,expiry_bin_6m::36:48,0.18365815417561082,0.02704009787529556,6.79206691568247,1.1824967048821742e-11,232055
expiry_selection,all_comps_full,Matches_tm,player_month,expiry_bin_6m::48+,0.15322401808703034,0.03644498157345933,4.20425560589703,2.6472624885106963e-5,232055
bosman_selection,all_comps_full,played_fotmob,player_month,BosmanTRUE,0.002685965971011467,0.003472017227333053,0.7736038720852281,0.43918791429555026,169039
expiry_selection,all_comps_full,played_fotmob,player_month,expiry_bin_6m::0:6,0.0013681193053171835,0.0047403037391176355,0.28861427043741433,0.7728840429711724,169039
expiry_selection,all_comps_full,played_fotmob,player_month,expiry_bin_6m::6:12,-0.005626270529640494,0.004600380323198899,-1.223001172591799,0.22136523811349829,169039
expiry_selection,all_comps_full,played_fotmob,player_month,expiry_bin_6m::12:18,0.006799959105839697,0.0037228852499933745,1.8265293312093889,0.06780777189995356,169039
expiry_selection,all_comps_full,played_fotmob,player_month,expiry_bin_6m::18:24,-0.005558148196781189,0.003990383974490365,-1.3928855549524033,0.16369306255416513,169039
expiry_selection,all_comps_full,played_fotmob,player_month,expiry_bin_6m::30:36,-0.0064904595208623,0.0035382620354607805,-1.8343637231540035,0.06663709672365578,169039
expiry_selection,all_comps_full,played_fotmob,player_month,expiry_bin_6m::36:48,-0.005146590341987828,0.003939988235459997,-1.3062451038986311,0.19150673097627818,169039
expiry_selection,all_comps_full,played_fotmob,player_month,expiry_bin_6m::48+,-0.024052480554450494,0.00509261026717959,-4.723016153319609,2.363261087502527e-6,169039
bosman_selection,all_comps_full,fotmob_minutes,player_month,BosmanTRUE,5.118928695347463,1.7455036217646813,2.932637109152654,0.003370484446722762,169039
expiry_selection,all_comps_full,fotmob_minutes,player_month,expiry_bin_6m::0:6,-0.010446790444499416,2.4736062598604835,-0.004223303689847808,0.9966304063918112,169039
expiry_selection,all_comps_full,fotmob_minutes,player_month,expiry_bin_6m::6:12,-6.228497780736801,2.385156736506851,-2.611357855609382,0.009035163321561809,169039
expiry_selection,all_comps_full,fotmob_minutes,player_month,expiry_bin_6m::12:18,1.4917223869647749,1.9764473295121223,0.754749375149299,0.45042156672806066,169039
